Localidad,Especie,Tiempo,Time_2,Horas,Minutos,Minutos_Decimales,Horas_Decimales,Station
Puerto de las Palomas 2,Sylvilagus floridanus,00:00:07,8.10185E-05,0,0,0,0,Seca
El Aguita 2,Didelphis virginiana,00:00:15,0.000173611,0,0,0,0,Seca
El Aguita,Leopardus wiedii,00:00:20,0.000231481,0,0,0,0,Seca
Joya Oscura,Nasua narica,00:00:35,0.000405093,0,0,0,0,Lluvia
Joya Oscura 2,Ursus americanus,00:00:54,0.000625,0,0,0,0,Seca
Joya Oscura,Leopardus wiedii,00:00:56,0.000648148,0,0,0,0,Lluvia
Puerto de las Palomas 2,Sylvilagus floridanus,00:01:02,0.000717593,0,1,0.016666667,0.016666667,Seca
Casa de Piedra,Didelphis virginiana,00:01:55,0.001331019,0,1,0.016666667,0.016666667,Lluvia
Valle Verde del Charco ,Didelphis virginiana,00:02:12,0.001527778,0,2,0.033333333,0.033333333,Seca
Joya Oscura,Didelphis virginiana,00:02:26,0.001689815,0,2,0.033333333,0.033333333,Seca
Joya Oscura,Leopardus wiedii,00:02:40,0.001851852,0,2,0.033333333,0.033333333,Lluvia
Puerto de las Palomas,Sylvilagus floridanus,00:02:48,0.001944444,0,2,0.033333333,0.033333333,Lluvia
Puerto de las Palomas,Didelphis virginiana,00:03:03,0.002118056,0,3,0.05,0.05,Lluvia
Puerto de las Palomas 2,Sylvilagus floridanus,00:03:13,0.002233796,0,3,0.05,0.05,Seca
El Aguita,Mazama temama,00:03:40,0.002546296,0,3,0.05,0.05,Lluvia
Agua Linda,Leopardus wiedii,00:04:35,0.00318287,0,4,0.066666667,0.066666667,Lluvia
La Tableta 2,Puma concolor,00:05:02,0.00349537,0,5,0.083333333,0.083333333,Seca
Puerto de las Palomas 2,Sylvilagus floridanus,00:05:08,0.003564815,0,5,0.083333333,0.083333333,Lluvia
Joya Oscura,Leopardus wiedii,00:05:26,0.003773148,0,5,0.083333333,0.083333333,Seca
El Salto,Dasypus novemcinctus,00:05:51,0.0040625,0,5,0.083333333,0.083333333,Lluvia
La Corneta,Mazama temama,00:06:32,0.004537037,0,6,0.1,0.1,Seca
